                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.3611,                0.95875,                0.91023,                0.43975,                0.33685,                0.33884,                0.19723,                 1.3393,                 0.9654,                0.90726,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.3547,                 0.9579,                0.91144,                0.45239,                0.33366,                0.34002,                0.19733,                 1.3382,                0.96623,                0.90715,               0.005545,               0.005545,               0.005545
                     92,                  1.362,                0.96008,                 0.9106,                0.44205,                0.33866,                0.34022,                 0.1978,                 1.3372,                0.96488,                0.90637,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.3516,                0.95339,                0.91139,                0.44716,                0.33594,                0.34142,                0.19847,                 1.3366,                0.96591,                0.90703,               0.005446,               0.005446,               0.005446
                     94,                 1.3582,                0.95701,                0.91213,                0.43726,                0.33827,                0.34153,                0.19907,                 1.3357,                0.96697,                0.90659,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.3505,                0.95058,                0.91094,                0.44103,                  0.334,                0.34133,                0.19845,                 1.3374,                0.96626,                0.90731,               0.005347,               0.005347,               0.005347
                     96,                 1.3583,                 0.9571,                0.90996,                0.43856,                0.33714,                0.34201,                0.19862,                 1.3351,                0.96531,                 0.9066,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.3542,                0.95172,                0.91049,                0.43989,                0.33671,                0.34112,                0.19852,                 1.3363,                 0.9646,                0.90646,               0.005248,               0.005248,               0.005248
                     98,                 1.3533,                0.95052,                0.91047,                0.43183,                0.34422,                 0.3406,                 0.1977,                 1.3339,                0.96318,                 0.9058,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.3523,                 0.9475,                0.91038,                0.43534,                0.34202,                0.34284,                0.19925,                 1.3311,                0.95978,                 0.9051,               0.005149,               0.005149,               0.005149
                    100,                 1.3502,                0.94693,                0.90975,                0.44162,                0.34102,                0.34245,                0.19965,                 1.3325,                0.96143,                0.90521,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.3517,                0.94614,                0.90988,                0.44486,                0.33895,                0.34282,                0.19976,                 1.3341,                0.96187,                0.90543,                0.00505,                0.00505,                0.00505
                    102,                 1.3541,                0.94782,                0.91024,                0.44628,                0.33993,                0.34286,                0.20053,                 1.3323,                0.96049,                 0.9046,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.3437,                0.94045,                0.91125,                0.44873,                0.34069,                0.34266,                0.20018,                 1.3336,                0.96107,                0.90496,               0.004951,               0.004951,               0.004951
